,product_name,product_image,product_price
81,Váy xòe xoắn ngực,https://img.cdn.vncdn.io/nvn/ncdn/store1/57499/ps/20220818/DSC_4352_thumb.jpg,"550,000đ"
82,Bộ sơ mi cut out eo quần short,https://img.cdn.vncdn.io/nvn/ncdn/store1/57499/ps/20220901/DSC_7636_thumb.jpg,"550,000đ"
83,Áo blazer 2 ve vếch TS kiểu,https://img.cdn.vncdn.io/nvn/ncdn/store1/57499/ps/20220816/DSC_1207_thumb.jpg,"600,000đ"
84,Set bộ TT in 3 dòng,https://img.cdn.vncdn.io/nvn/ncdn/store1/57499/ps/20220826/CC_001454_thumb.jpg,"759,000đ"
85,Áo Blazer 2 hàng khuy,https://img.cdn.vncdn.io/nvn/ncdn/store1/57499/ps/20220826/CC_000773_thumb.jpg,"400,000đ"
86,Chân váy cạp liền dáng suông,https://img.cdn.vncdn.io/nvn/ncdn/store1/57499/ps/20220813/Chan_vay_cap_lien_dang_suong__1_thumb.jpg,"309,000đ"
87,Bộ TT phối áo quần joger,https://img.cdn.vncdn.io/nvn/ncdn/store1/57499/ps/20220812/Bo_TT_phoi_ao_quan_joger__1_thumb.jpg,"749,000đ"
88,Bộ thể thao HT có mũ,https://img.cdn.vncdn.io/nvn/ncdn/store1/57499/ps/20220805/DSC_1389_thumb.jpg,"570,000đ"
89,Áo Sơ mi đè dây 1 bên tay,https://img.cdn.vncdn.io/nvn/ncdn/store1/57499/ps/20220812/Ao_So_mi_de_day_1_ben_tay__1_thumb.jpg,"329,000đ"
90,Váy tay kiểu rủ xòe,https://img.cdn.vncdn.io/nvn/ncdn/store1/57499/ps/20220901/DSC_8074_thumb.jpg,"629,000đ"
91,Set bộ áo sát nách cv bút chì,https://img.cdn.vncdn.io/nvn/ncdn/store1/57499/ps/20220818/DSC_4625__1__thumb.jpg,"599,000đ"
92,Sơ mi phối kẻ xẻ tà sau,https://img.cdn.vncdn.io/nvn/ncdn/store1/57499/ps/20220816/DSC_1170_thumb.jpg,"279,000đ"
93,Sơ mi kiểu buộc dây TT,https://img.cdn.vncdn.io/nvn/ncdn/store1/57499/ps/20220818/DSC_5571_thumb.jpg,"260,000đ"
94,Sơ mi nhún sườn vạt nhọn,https://img.cdn.vncdn.io/nvn/ncdn/store1/57499/ps/20220813/Quan_yem_kieu_chun_sau__1_thumb.jpg,"260,000đ"
95,Set bộ phối 2 màu,https://img.cdn.vncdn.io/nvn/ncdn/store1/57499/ps/20220901/DSC_8787_thumb.jpg,"789,000đ"
96,Quần baggy 2 túi 2 ly,https://img.cdn.vncdn.io/nvn/ncdn/store1/57499/ps/20220816/DSC_1343_thumb.jpg,"399,000đ"
97,Sơ mi nẹp thẳng cutout sườn,https://img.cdn.vncdn.io/nvn/ncdn/store1/57499/ps/20220815/DSC_9202_thumb.jpg,"389,000đ"
98,Áo vai chờm buộc eo,https://img.cdn.vncdn.io/nvn/ncdn/store1/57499/ps/20220816/DSC_1268_thumb.jpg,"380,000đ"
99,Áo sơ mi cổ ve 2 hàng khuy,https://img.cdn.vncdn.io/nvn/ncdn/store1/57499/ps/20220901/DSC_7912_thumb.jpg,"500,000đ"
100,Quần suông cạp ly lật,https://img.cdn.vncdn.io/nvn/ncdn/store1/57499/ps/20220901/DSC_7908_thumb.jpg,"399,000đ"
